Mask_Name,Coverage_Percentage
00183.png,5.1476
00184.png,7.5813
00185.png,5.3593
00186.png,4.6158
00187.png,5.5199
00188.png,4.4388
00189.png,3.7018
00190.png,7.1804
00191.png,8.4915
00192.png,5.1056
00193.png,1.2867
00194.png,6.9443
00195.png,7.1983
00196.png,7.9613
00197.png,5.1750
00198.png,4.4933
00199.png,9.3704
00200.png,3.4073
00201.png,4.7974
00202.png,3.3409
00203.png,7.1018
00204.png,5.3703
00205.png,5.4256
00206.png,3.5358
00207.png,5.5248
00208.png,4.9465
00209.png,5.3928
00210.png,7.4238
00211.png,6.4850
00212.png,4.7474
00213.png,2.4685
00214.png,7.6084
00215.png,9.3609
00216.png,8.7006
00217.png,7.4345
00218.png,9.4963
00219.png,7.2720
00220.png,8.3176
00221.png,2.5581
00222.png,7.5172
00223.png,6.8497
00224.png,6.7993
00225.png,4.5719
00226.png,7.6622
00227.png,4.0470
00228.png,7.4024
00229.png,7.7206
00230.png,3.2143
00231.png,3.0331
00232.png,9.4917
00233.png,8.1390
00234.png,5.0804
00235.png,7.1453
00236.png,3.6858
00237.png,3.8097
00238.png,9.8732
00239.png,5.0358
00240.png,1.0452
00241.png,2.5364
00242.png,1.0948
00243.png,9.8629
00244.png,9.7721
00245.png,7.0877
00246.png,8.7337
00247.png,8.3641
00248.png,9.2525
00249.png,8.8760
00250.png,3.7468
00251.png,7.7065
00252.png,4.3118
00253.png,2.8915
00254.png,9.4826
00255.png,8.5007
00256.png,4.1775
00257.png,2.0054
00258.png,7.8777
00259.png,2.1778
00260.png,9.0076
00261.png,9.8358
00262.png,7.3105
00263.png,5.8514
00264.png,4.5128
00265.png,5.3108
00266.png,6.4911
00267.png,3.2326
00268.png,6.0688
00269.png,4.2732
00270.png,7.0866
00271.png,7.1743
00272.png,6.7348
00273.png,2.9503
00274.png,7.6633
00275.png,6.8890
00276.png,6.3580
00277.png,3.2673
00278.png,3.1467
00279.png,2.9926
00280.png,9.1331
00281.png,3.6476
00282.png,4.1672
00283.png,4.4239
00284.png,8.3057
00285.png,6.6113
00286.png,6.6235
00287.png,9.8228
00288.png,6.8996
00289.png,5.9692
00290.png,6.5693
00291.png,6.3560
00292.png,4.1283
00293.png,8.4171
00294.png,2.8492
00295.png,7.7538
00296.png,6.5952
00297.png,9.4738
00298.png,2.6443
00299.png,5.6633
00300.png,4.7680
00301.png,7.3910
00302.png,9.1114
00303.png,5.6717
00304.png,6.3114
00305.png,2.1637
00306.png,9.7553
00307.png,2.6688
00308.png,9.3540
00309.png,6.3820
00310.png,9.5863
00311.png,6.4575
00312.png,7.7694
00313.png,9.3685
00314.png,6.3744
00315.png,2.1881
00316.png,5.5267
00317.png,6.1199
00318.png,2.1313
00319.png,1.1257
00320.png,1.8406
00321.png,3.7399
00322.png,2.6424
00323.png,3.3623
00324.png,3.2784
00325.png,7.6607
00326.png,1.0334
00327.png,5.7789
00328.png,1.6830
00329.png,7.5893
00330.png,6.2862
00331.png,8.1558
00332.png,3.4863
00333.png,6.4117
00334.png,1.5888
00335.png,2.5768
00336.png,5.7827
00337.png,2.9175
00338.png,5.1014
00339.png,5.8960
00340.png,9.4646
00341.png,3.0258
00342.png,2.8591
00343.png,8.0387
00344.png,9.0458
00345.png,4.7852
00346.png,7.6962
00347.png,6.4438
00348.png,3.3428
00349.png,4.1996
00350.png,5.8804
00351.png,3.2600
00352.png,7.5298
00353.png,1.7849
00354.png,5.0880
00355.png,9.3304
00356.png,6.8886
00357.png,2.5223
00358.png,4.6398
00359.png,3.5355
00360.png,9.8316
00361.png,4.8916
00362.png,9.9598
00363.png,9.9483
00364.png,3.3169
00365.png,4.0066
00366.png,9.8213
00367.png,5.3871
00368.png,1.9054
00369.png,4.2263
00370.png,2.8500
00371.png,2.8618
00372.png,4.9156
00373.png,8.7795
00374.png,8.5308
00375.png,3.8223
00376.png,2.9121
00377.png,8.8085
00378.png,7.3299
00379.png,5.0205
00380.png,7.7988
00381.png,2.6951
00382.png,2.7035
00383.png,3.6930
00384.png,6.2702
00385.png,4.6375
00386.png,3.2684
00387.png,8.4454
00388.png,5.6103
00389.png,2.9346
00390.png,4.6329
00391.png,9.7225
00392.png,5.9742
00393.png,5.2097
00394.png,3.5091
00395.png,5.6633
00396.png,1.3271
00397.png,1.2432
00398.png,2.8473
00399.png,4.8141
00400.png,5.1685
00401.png,1.9794
00402.png,8.7967
00403.png,3.5164
00404.png,7.0839
00405.png,9.0633
00406.png,6.2023
00407.png,4.4716
00408.png,9.5562
00409.png,3.7849
00410.png,5.6232
00411.png,9.5879
00412.png,3.9593
00413.png,8.8726
00414.png,3.3638
00415.png,9.3483
00416.png,5.3295
00417.png,3.4576
00418.png,4.4559
00419.png,4.6772
00420.png,1.5827
00421.png,6.1657
00422.png,1.2650
00423.png,9.3403
00424.png,8.0879
00425.png,8.5918
00426.png,5.7449
00427.png,6.4896
00428.png,9.8198
00429.png,1.0738
00430.png,5.2483
00431.png,8.8131
00432.png,2.5284
00433.png,8.0235
00434.png,2.5047
00435.png,7.7244
00436.png,8.6349
00437.png,8.6903
00438.png,8.7624
00439.png,5.7781
00440.png,9.2773
00441.png,8.5869
00442.png,1.6617
00443.png,7.6992
00444.png,8.4476
00445.png,9.0816
00446.png,5.3593
00447.png,3.5088
00448.png,3.8864
00449.png,8.9211
00450.png,8.6113
00451.png,9.7370
00452.png,1.0357
00453.png,5.0831
00454.png,6.7276
00455.png,5.3776
00456.png,2.7065
00457.png,3.8105
00458.png,8.1524
00459.png,7.1507
00460.png,4.0562
00461.png,4.2080
00462.png,3.4115
00463.png,6.7677
00464.png,3.4618
00465.png,8.9687
00466.png,8.3687
00467.png,3.0190
00468.png,7.2536
00469.png,3.9886
00470.png,9.7885
00471.png,7.8045
00472.png,7.8438
00473.png,6.9626
00474.png,7.8590
00475.png,4.7287
00476.png,7.8674
00477.png,8.7997
00478.png,5.7289
00479.png,2.6405
00480.png,5.1346
00481.png,4.4983
00482.png,6.8760
00483.png,5.7369
00484.png,9.1190
00485.png,4.7268
00486.png,3.8582
00487.png,6.3389
00488.png,9.6519
00489.png,4.2183
00490.png,8.5255
00491.png,5.9059
00492.png,1.5854
00493.png,6.4903
00494.png,8.4827
00495.png,9.2670
00496.png,5.6713
00497.png,1.1772
00498.png,3.7121
00499.png,6.3862
00500.png,1.5263
00501.png,4.9793
00502.png,1.3794
00503.png,7.7385
00504.png,8.3618
00505.png,1.3363
00506.png,8.6597
00507.png,7.9266
00508.png,7.2388
00509.png,6.8756
00510.png,7.3639
00511.png,3.2585
00512.png,4.8576
00513.png,8.4503
00514.png,4.7337
00515.png,7.2632
00516.png,6.8249
00517.png,1.1173
00518.png,5.8342
00519.png,9.8148
00520.png,6.7104
00521.png,9.7019
00522.png,6.5960
00523.png,7.6962
00524.png,8.9596
00525.png,3.4817
00526.png,9.0240
00527.png,4.2664
00528.png,3.1929
00529.png,9.8263
00530.png,6.4854
00531.png,4.3037
00532.png,8.3637
00533.png,3.1239
00534.png,7.5176
00535.png,9.0981
00536.png,3.3546
00537.png,7.6038
00538.png,2.7721
00539.png,8.8871
00540.png,4.0150
00541.png,4.0150
00542.png,5.5740
00543.png,3.7498
00544.png,1.8520
00545.png,8.9844
00546.png,6.3824
00547.png,4.7134
00548.png,4.3205
00549.png,3.1116
00550.png,8.2233
00551.png,3.9505
00552.png,8.5331
00553.png,5.7022
00554.png,7.3765
00555.png,7.8964
00556.png,2.8790
00557.png,5.7899
00558.png,8.9230
00559.png,6.9687
00560.png,4.6917
00561.png,9.5669
00562.png,9.1557
00563.png,5.8559
00564.png,5.8987
00565.png,8.4221
00566.png,1.1391
00567.png,5.8250
00568.png,1.0712
00569.png,9.0275
00570.png,8.0986
00571.png,5.9387
00572.png,2.3891
00573.png,9.4673
00574.png,3.7296
00575.png,6.1077
00576.png,7.6431
00577.png,1.8124
00578.png,5.9723
00579.png,5.3886
00580.png,6.3992
00581.png,8.7456
00582.png,9.5936
00583.png,7.5420
00584.png,6.6540
00585.png,6.3900
00586.png,5.3642
00587.png,8.3923
00588.png,4.9091
00589.png,8.1581
00590.png,1.3172
00591.png,9.6527
00592.png,2.1397
00593.png,2.1099
00594.png,6.0993
00595.png,1.0399
00596.png,2.2865
00597.png,6.4102
00598.png,4.0947
00599.png,1.7490
00600.png,3.4969
00601.png,4.5151
00602.png,3.3310
00603.png,5.2505
00604.png,6.4442
00605.png,8.0078
00606.png,9.7725
00607.png,5.8838
00608.png,2.7214
00609.png,2.0496
00610.png,4.0096
00611.png,6.2351
00612.png,5.8208
00613.png,6.6032
00614.png,7.7976
00615.png,4.9988
00616.png,6.7108
00617.png,3.9375
00618.png,9.3010
00619.png,4.2877
00620.png,4.1138
00621.png,6.0760
00622.png,1.9623
00623.png,4.7455
00624.png,7.2739
00625.png,5.7964
00626.png,5.7869
00627.png,5.4413
00628.png,9.6836
00629.png,2.4052
00630.png,5.9746
00631.png,2.8698
00632.png,2.4670
00633.png,4.0295
00634.png,6.0982
00635.png,6.5098
00636.png,1.1292
00637.png,5.2486
00638.png,6.8745
00639.png,9.4978
00640.png,6.3694
00641.png,9.0286
00642.png,3.0582
00643.png,1.3840
00644.png,9.8019
00645.png,3.7609
00646.png,3.0025
00647.png,6.5052
00648.png,1.4446
00649.png,9.8824
00650.png,6.3026
00651.png,3.9024
00652.png,6.6757
00653.png,7.7934
00654.png,4.6684
00655.png,9.8633
00656.png,3.6644
00657.png,9.5562
00658.png,1.6636
00659.png,9.9010
00660.png,8.1078
00661.png,4.5319
00662.png,4.8092
00663.png,3.8033
00664.png,5.9620
00665.png,2.0355
00666.png,8.4164
00667.png,4.1748
00668.png,2.6627
00669.png,9.2827
00670.png,4.4178
00671.png,6.7924
00672.png,3.9680
00673.png,1.0624
00674.png,8.5243
00675.png,4.1824
00676.png,1.0513
00677.png,3.1967
00678.png,5.9479
00679.png,6.7665
00680.png,4.5708
00681.png,5.4016
00682.png,1.8570
00683.png,6.6734
00684.png,6.8661
00685.png,7.7339
00686.png,6.0097
00687.png,7.0183
00688.png,8.2066
00689.png,7.3727
00690.png,5.8434
00691.png,4.4250
00692.png,1.9318
00693.png,3.9368
00694.png,4.1859
00695.png,7.8003
00696.png,1.1818
00697.png,5.3036
00698.png,8.5739
00699.png,7.8583
00700.png,9.6733
00701.png,2.7657
00702.png,4.1428
00703.png,4.7352
00704.png,3.0918
00705.png,2.6794
00706.png,5.9872
00707.png,7.7984
00708.png,5.0507
00709.png,6.5552
00710.png,8.9180
00711.png,6.5956
00712.png,2.4315
00713.png,3.1464
00714.png,8.0555
00715.png,7.3345
00716.png,6.8493
00717.png,1.6052
00718.png,8.4358
00719.png,4.7142
00720.png,8.6414
00721.png,6.1584
00722.png,2.2999
00723.png,5.4276
00724.png,2.5101
00725.png,5.2479
00726.png,7.2086
00727.png,3.3348
00728.png,7.0278
00729.png,9.2831
00730.png,5.4325
00731.png,6.7230
00732.png,5.7133
00733.png,5.4054
00734.png,3.8918
00735.png,1.1276
00736.png,9.8679
00737.png,8.7547
00738.png,9.6149
00739.png,7.2109
00740.png,9.1637
00741.png,2.5719
00742.png,9.0332
00743.png,2.5352
00744.png,4.8515
00745.png,5.4413
00746.png,8.2626
00747.png,8.6723
00748.png,4.2416
00749.png,4.0424
00750.png,3.9898
00751.png,7.9720
00752.png,5.2250
00753.png,4.2484
00754.png,6.7261
00755.png,8.0971
00756.png,8.5869
00757.png,4.2961
00758.png,1.3084
00759.png,5.7434
00760.png,5.6702
00761.png,2.9613
00762.png,9.1713
00763.png,8.6853
00764.png,5.1064
00765.png,7.7961
00766.png,7.7274
00767.png,8.0120
00768.png,2.3312
00769.png,4.4296
00770.png,9.0099
00771.png,2.8725
00772.png,8.4270
00773.png,8.7063
00774.png,7.4535
00775.png,8.6433
00776.png,7.9380
00777.png,7.2559
00778.png,4.4903
00779.png,7.8320
00780.png,8.0322
00781.png,5.4977
00782.png,6.7879
00783.png,2.4689
00784.png,4.4052
00785.png,7.0435
00786.png,2.7756
00787.png,1.5072
00788.png,1.1635
00789.png,7.2655
00790.png,6.8649
00791.png,3.4286
00792.png,6.7471
00793.png,9.5051
00794.png,8.3012
00795.png,8.5056
00796.png,9.6565
00797.png,1.1948
00798.png,2.0309
00799.png,3.1429
00800.png,1.8211
00801.png,5.3276
00802.png,7.7930
00803.png,3.1086
00804.png,2.8633
00805.png,2.8286
00806.png,2.7081
00807.png,6.0745
00808.png,6.7184
00809.png,9.5882
00810.png,6.6822
00811.png,5.6919
00812.png,3.8155
00813.png,1.8642
00814.png,6.6063
00815.png,6.6082
00816.png,9.3872
00817.png,7.2727
00818.png,1.7746
00819.png,4.4289
00820.png,3.2948
00821.png,1.1604
00822.png,4.1229
00823.png,7.9754
00824.png,6.6883
00825.png,9.4200
00826.png,6.3763
00827.png,1.8795
00828.png,3.1357
00829.png,6.9542
00830.png,5.5561
00831.png,1.3794
00832.png,8.2367
00833.png,2.8965
00834.png,7.8224
00835.png,3.1094
00836.png,8.3961
00837.png,8.5770
00838.png,7.8049
00839.png,4.7623
00840.png,7.3765
00841.png,9.3033
00842.png,4.3201
00843.png,6.6753
00844.png,9.5901
00845.png,4.7974
00846.png,6.8443
00847.png,5.4188
00848.png,7.7385
00849.png,1.1097
00850.png,7.7160
00851.png,4.8954
00852.png,2.8297
00853.png,4.0421
00854.png,9.6981
00855.png,1.9238
00856.png,6.8069
00857.png,9.6771
00858.png,2.7382
00859.png,8.7299
00860.png,2.2633
00861.png,7.9430
00862.png,6.1314
00863.png,6.3499
00864.png,2.2240
00865.png,7.1953
00866.png,2.5417
00867.png,5.1567
00868.png,5.5191
00869.png,4.6089
00870.png,9.5482
00871.png,3.1666
00872.png,4.6532
00873.png,9.3441
00874.png,8.6815
00875.png,9.7141
00876.png,3.5599
00877.png,3.2688
00878.png,4.7146
00879.png,3.4100
00880.png,6.5350
00881.png,6.3179
00882.png,6.8928
00883.png,1.9852
00884.png,9.6199
00885.png,6.0677
00886.png,2.9404
00887.png,9.5062
00888.png,5.2174
00889.png,4.2645
00890.png,2.3766
00891.png,6.6982
00892.png,7.1331
00893.png,4.4754
00894.png,6.4560
00895.png,3.5610
00896.png,7.4108
00897.png,6.8069
00898.png,1.9058
00899.png,9.9590
00900.png,7.7274
00901.png,5.4676
00902.png,7.7534
00903.png,9.5921
00904.png,9.5009
00905.png,4.9404
00906.png,4.7470
00907.png,8.9188
00908.png,2.3281
00909.png,2.5768
00910.png,4.1416
00911.png,8.6849
00912.png,6.1298
00913.png,3.3840
00914.png,9.1812
00915.png,5.7938
00916.png,3.2543
00917.png,1.4233
00918.png,1.5198
00919.png,4.2038
00920.png,1.5686
00921.png,8.9222
00922.png,5.3047
00923.png,7.6012
00924.png,2.6688
00925.png,1.0365
00926.png,6.3042
00927.png,8.3698
00928.png,8.3546
00929.png,1.5209
00930.png,5.1731
00931.png,5.5252
00932.png,2.6573
00933.png,4.4239
00934.png,1.7761
00935.png,7.1033
00936.png,3.7128
00937.png,3.8002
00938.png,6.9164
00939.png,8.5278
00940.png,7.7358
00941.png,2.0405
00942.png,8.6220
00943.png,9.0057
00944.png,2.8069
00945.png,7.3116
00946.png,3.1925
00947.png,8.5079
00948.png,7.6462
00949.png,8.6082
00950.png,1.1158
00951.png,6.5918
00952.png,4.4857
00953.png,9.9556
00954.png,7.5459
00955.png,5.9616
00956.png,5.0545
00957.png,6.2916
00958.png,7.8632
00959.png,1.8269
00960.png,8.7029
00961.png,6.9206
00962.png,4.4048
00963.png,4.1992
00964.png,6.7150
00965.png,9.0439
00966.png,1.4290
00967.png,4.4064
00968.png,3.3833
00969.png,9.3178
00970.png,4.4601
00971.png,8.6460
00972.png,2.2049
00973.png,9.6836
00974.png,9.3739
00975.png,4.4979
00976.png,2.0020
00977.png,7.1640
00978.png,9.5772
00979.png,5.6465
00980.png,4.2664
00981.png,1.9169
00982.png,5.7247
00983.png,6.7810
00984.png,6.7940
00985.png,7.0679
00986.png,7.8308
00987.png,7.4169
00988.png,1.3611
00989.png,9.3861
00990.png,3.0514
00991.png,5.1533
00992.png,5.9010
00993.png,9.4196
00994.png,3.7731
00995.png,7.1564
00996.png,2.5249
00997.png,4.1073
00998.png,2.5745
00999.png,8.8276
01000.png,7.8110
01001.png,8.9443
01002.png,2.0885
01003.png,3.5847
01004.png,5.6728
01005.png,8.8486
01006.png,1.5022
01007.png,9.7321
01008.png,3.7861
01009.png,3.9570
01010.png,8.9195
01011.png,7.5130
01012.png,8.3977
01013.png,6.1230
01014.png,8.7513
01015.png,7.7843
01016.png,2.8313
01017.png,4.1161
01018.png,7.1434
01019.png,4.4117
01020.png,9.0302
01021.png,6.9305
01022.png,6.7642
01023.png,1.0544
01024.png,1.3557
01025.png,3.4210
01026.png,8.8375
01027.png,3.1548
01028.png,2.4788
01029.png,9.6878
01030.png,8.9352
01031.png,9.0981
01032.png,1.4099
01033.png,4.1443
01034.png,5.4039
01035.png,4.0855
01036.png,5.6732
01037.png,7.9357
01038.png,1.8784
01039.png,1.6438
01040.png,3.7354
01041.png,8.9851
01042.png,8.7246
01043.png,4.0829
01044.png,7.0477
01045.png,5.0476
01046.png,9.9972
01047.png,7.3669
01048.png,3.9352
01049.png,3.4939
01050.png,4.0409
01051.png,5.7423
01052.png,9.5673
01053.png,5.6858
01054.png,4.3354
01055.png,9.5100
01056.png,9.2152
01057.png,4.8084
01058.png,6.5800
01059.png,6.7917
01060.png,9.4944
01061.png,7.1312
01062.png,9.2319
01063.png,8.1638
01064.png,4.2442
01065.png,6.9031
01066.png,9.0725
01067.png,7.2197
01068.png,3.8483
01069.png,6.9736
01070.png,1.0353
01071.png,2.9701
01072.png,4.4025
01073.png,9.3410
01074.png,1.5686
01075.png,9.9758
01076.png,4.6810
01077.png,8.4888
01078.png,7.6553
01079.png,7.0107
01080.png,1.8295
01081.png,4.4075
01082.png,4.0596
01083.png,3.0197
01084.png,9.8232
01085.png,4.6726
01086.png,3.2288
01087.png,6.8008
01088.png,7.6511
01089.png,8.4690
01090.png,7.9411
01091.png,7.3765
01092.png,9.2999
01093.png,1.5274
01094.png,8.4644
01095.png,6.9904
01096.png,6.2538
01097.png,7.1983
01098.png,7.5527
01099.png,4.6658
01100.png,7.2613
01101.png,6.0421
01102.png,8.9096
01103.png,9.2049
01104.png,6.6917
01105.png,7.2308
01106.png,1.1250
01107.png,1.2127
01108.png,6.0234
01109.png,9.2281
01110.png,5.0083
01111.png,3.8052
01112.png,3.2139
01113.png,2.7992
01114.png,9.1160
01115.png,9.0279
01116.png,4.2915
01117.png,6.2874
01118.png,8.4068
01119.png,9.9915
01120.png,6.6307
01121.png,5.3055
01122.png,9.9457
01123.png,8.2146
01124.png,8.2375
01125.png,9.1576
01126.png,4.7215
01127.png,2.9358
01128.png,6.4301
01129.png,2.4906
01130.png,5.6778
01131.png,3.9356
01132.png,3.7739
01133.png,7.8712
01134.png,9.1156
01135.png,2.0237
01136.png,2.5616
01137.png,3.8994
01138.png,5.7228
01139.png,9.4154
01140.png,6.3419
01141.png,5.2532
01142.png,1.8478
01143.png,3.0403
01144.png,7.0213
01145.png,7.1823
01146.png,1.6708
01147.png,3.4195
01148.png,8.0086
01149.png,3.9616
01150.png,9.7824
01151.png,4.2877
01152.png,4.8752
01153.png,9.2670
01154.png,9.4921
01155.png,9.9995
01156.png,4.8023
01157.png,8.6941
01158.png,5.3860
01159.png,8.4339
01160.png,2.9724
01161.png,7.6847
01162.png,7.9468
01163.png,7.9453
01164.png,3.0106
01165.png,9.7672
01166.png,9.1610
01167.png,7.4459
01168.png,9.2258
01169.png,9.4952
01170.png,9.1927
01171.png,1.2936
01172.png,9.3098
01173.png,8.0448
01174.png,2.6627
01175.png,2.2667
01176.png,2.3865
01177.png,8.5732
01178.png,3.7796
01179.png,2.7332
01180.png,6.1234
01181.png,9.7233
01182.png,8.0761
01183.png,2.9575
01184.png,7.1323
01185.png,6.1195
01186.png,6.2782
01187.png,7.5645
01188.png,5.4089
01189.png,4.1862
01190.png,4.7985
01191.png,4.8336
01192.png,8.3160
01193.png,9.0778
01194.png,3.4164
01195.png,3.5580
01196.png,7.6862
01197.png,8.0540
01198.png,3.7888
01199.png,1.3916
01200.png,6.4095
01201.png,9.2274
01202.png,3.0411
01203.png,2.3075
01204.png,1.1772
01205.png,9.9163
01206.png,8.1936
01207.png,3.4920
01208.png,4.9404
01209.png,8.8791
01210.png,7.3956
01211.png,1.4740
01212.png,1.2230
01213.png,5.7980
01214.png,6.7665
01215.png,8.7498
01216.png,5.2967
01217.png,9.8026
01218.png,2.2411
01219.png,7.6672
01220.png,8.6376
01221.png,8.6609
01222.png,4.5891
01223.png,8.1306
01224.png,5.1697
01225.png,9.0096
01226.png,3.2032
01227.png,2.9793
01228.png,4.7371
01229.png,3.4351
01230.png,6.3168
01231.png,5.3570
01232.png,3.2307
01233.png,7.5043
01234.png,7.2620
01235.png,1.1292
01236.png,2.5585
01237.png,8.5007
01238.png,6.6910
01239.png,2.0264
01240.png,5.2315
01241.png,6.5758
01242.png,8.4248
01243.png,2.1301
01244.png,2.5677
01245.png,4.3678
01246.png,5.5428
01247.png,4.5322
01248.png,3.6160
01249.png,7.5863
01250.png,7.4078
01251.png,8.3511
01252.png,5.5664
01253.png,3.7575
01254.png,7.3933
01255.png,7.9086
01256.png,9.5535
01257.png,4.8153
01258.png,9.5379
01259.png,6.3694
01260.png,2.9881
01261.png,1.6731
01262.png,7.1239
01263.png,2.6493
01264.png,4.6413
01265.png,7.8499
01266.png,8.8398
01267.png,4.6947
01268.png,4.8985
01269.png,8.5670
01270.png,3.3054
01271.png,2.5383
01272.png,4.8737
01273.png,6.6711
01274.png,7.7713
01275.png,6.6029
01276.png,5.5206
01277.png,9.5478
01278.png,7.9601
01279.png,2.2327
01280.png,4.6936
01281.png,3.6636
01282.png,7.7583
01283.png,8.7597
01284.png,1.7246
01285.png,9.2846
01286.png,5.1857
01287.png,7.9998
01288.png,1.9718
01289.png,5.4062
01290.png,7.2693
01291.png,4.9011
01292.png,6.6174
01293.png,5.6564
01294.png,2.5394
01295.png,6.6021
01296.png,1.4248
01297.png,7.0690
01298.png,2.4994
01299.png,6.1073
01300.png,9.5428
01301.png,4.3003
01302.png,3.0800
01303.png,8.3721
01304.png,2.8908
01305.png,8.7444
01306.png,6.1539
01307.png,9.5673
01308.png,9.8206
01309.png,2.0588
01310.png,2.9099
01311.png,8.5033
01312.png,8.5846
01313.png,8.5220
01314.png,6.2962
01315.png,4.7218
01316.png,1.2859
01317.png,1.8955
01318.png,7.5157
01319.png,2.3605
01320.png,6.5048
01321.png,1.9661
01322.png,7.2426
01323.png,9.5352
01324.png,9.8766
01325.png,9.3269
01326.png,7.2659
01327.png,7.5085
01328.png,3.4374
01329.png,5.2856
01330.png,4.3781
01331.png,8.6514
01332.png,8.5369
01333.png,5.9273
01334.png,7.1201
01335.png,7.3410
01336.png,6.7471
01337.png,2.2976
01338.png,1.1772
01339.png,6.1977
01340.png,4.3175
01341.png,5.4394
01342.png,7.8182
01343.png,6.0844
01344.png,8.7826
01345.png,6.5430
01346.png,7.1522
01347.png,9.5947
01348.png,6.7360
01349.png,6.1996
01350.png,7.2079
01351.png,3.7769
01352.png,3.1342
01353.png,6.3946
01354.png,2.0340
01355.png,5.8273
01356.png,5.3303
01357.png,9.9255
01358.png,5.4550
01359.png,7.9224
01360.png,1.5133
01361.png,3.6728
01362.png,3.9833
01363.png,8.6288
01364.png,4.6749
01365.png,3.7350
01366.png,2.7386
01367.png,4.8290
01368.png,4.5040
01369.png,5.8315
01370.png,7.2170
01371.png,6.5044
01372.png,2.9709
01373.png,1.9207
01374.png,6.8886
01375.png,9.5585
01376.png,4.8622
01377.png,3.5610
01378.png,3.9059
01379.png,5.2586
01380.png,6.6265
01381.png,4.2091
01382.png,4.1954
01383.png,4.4529
01384.png,5.9025
01385.png,5.7270
01386.png,3.2906
01387.png,9.6603
01388.png,3.3470
01389.png,5.6149
01390.png,8.9386
01391.png,4.4399
01392.png,4.8588
01393.png,3.3810
01394.png,8.7227
01395.png,2.4799
